content_category,total_count,avg_preference,avg_release_year
"Movie - Dramas, International Movies",362,69.67955801104972,2014.2403314917126
"Movie - Dramas, International Movies, LGBTQ Movies",12,67.83333333333333,2017.6666666666667
"Movie - Dramas, International Movies, Music & Musicals",57,69.01754385964912,2008.298245614035
"Movie - Dramas, International Movies, Romantic Movies",180,69.29444444444445,2013.861111111111
"Movie - Dramas, International Movies, Sci-Fi & Fantasy",13,58.07692307692308,2014.6153846153845
"Movie - Dramas, International Movies, Sports Movies",25,69.84,2016.4
"Movie - Dramas, International Movies, Thrillers",134,72.54477611940298,2016.05223880597
"Movie - Dramas, LGBTQ Movies",7,74.71428571428571,2017.142857142857
"Movie - Dramas, LGBTQ Movies, Romantic Movies",2,69.5,2017.5
"Movie - Dramas, Music & Musicals",7,73.71428571428571,2011.0
"Movie - Dramas, Music & Musicals, Romantic Movies",5,68.2,2008.8
"Movie - Dramas, Romantic Movies",52,74.82692307692308,2011.75
"Movie - Dramas, Romantic Movies, Sci-Fi & Fantasy",5,71.8,2008.2
"Movie - Dramas, Romantic Movies, Sports Movies",3,73.33333333333333,2017.3333333333333
"Movie - Dramas, Romantic Movies, Thrillers",2,57.5,2019.0
"Movie - Dramas, Sci-Fi & Fantasy",6,64.83333333333333,2017.5
"Movie - Dramas, Sci-Fi & Fantasy, Thrillers",5,74.6,2018.4
"Movie - Dramas, Sports Movies",19,69.36842105263158,2004.578947368421
"Movie - Dramas, Thrillers",82,69.76829268292683,2013.2926829268292
Movie - Horror Movies,55,69.34545454545454,2014.7818181818182
"Movie - Horror Movies, Independent Movies",18,72.66666666666667,2017.2222222222222
"Movie - Horror Movies, Independent Movies, International Movies",10,70.7,2017.3
"Movie - Horror Movies, Independent Movies, Sci-Fi & Fantasy",3,87.66666666666667,2017.6666666666667
"Movie - Horror Movies, Independent Movies, Thrillers",16,72.0625,2015.875
"Movie - Horror Movies, International Movies",57,70.89473684210526,2015.701754385965
"Movie - Horror Movies, International Movies, Romantic Movies",2,78.0,2009.0
"Movie - Horror Movies, International Movies, Sci-Fi & Fantasy",1,47.0,2018.0
"Movie - Horror Movies, International Movies, Thrillers",45,75.04444444444445,2015.888888888889
"Movie - Horror Movies, LGBTQ Movies",2,71.5,2021.0
"Movie - Horror Movies, LGBTQ Movies, Music & Musicals",1,64.0,2019.0
"Movie - Horror Movies, Romantic Movies, Sci-Fi & Fantasy",1,59.0,2015.0
"Movie - Horror Movies, Sci-Fi & Fantasy",4,90.25,2011.5
"Movie - Horror Movies, Sci-Fi & Fantasy, Thrillers",6,77.16666666666667,2015.0
"Movie - Horror Movies, Thrillers",54,69.68518518518519,2013.7962962962963
Movie - Independent Movies,1,57.0,2018.0
"Movie - Independent Movies, International Movies, Thrillers",5,64.4,2013.0
"Movie - Independent Movies, Sci-Fi & Fantasy, Thrillers",3,62.0,2018.0
"Movie - Independent Movies, Thrillers",11,74.81818181818181,2015.090909090909
Movie - International Movies,3,74.66666666666667,2017.6666666666667
"Movie - International Movies, LGBTQ Movies, Romantic Movies",3,64.33333333333333,2012.3333333333333
"Movie - International Movies, Music & Musicals",11,82.9090909090909,2018.7272727272727
"Movie - International Movies, Music & Musicals, Romantic Movies",6,74.83333333333333,2009.3333333333333
"Movie - International Movies, Music & Musicals, Thrillers",3,76.0,2011.6666666666667
"Movie - International Movies, Romantic Movies",18,61.5,2012.9444444444443
"Movie - International Movies, Romantic Movies, Sci-Fi & Fantasy",1,71.0,2016.0
"Movie - International Movies, Romantic Movies, Thrillers",2,69.5,2012.5
"Movie - International Movies, Sci-Fi & Fantasy",4,57.0,2013.5
"Movie - International Movies, Sci-Fi & Fantasy, Thrillers",9,64.44444444444444,2016.5555555555557
"Movie - International Movies, Sports Movies",1,58.0,2017.0
"Movie - International Movies, Thrillers",67,69.2089552238806,2016.7761194029852
"Movie - LGBTQ Movies, Thrillers",1,75.0,2018.0
Movie - Movies,57,69.85964912280701,2014.4736842105262
Movie - Music & Musicals,10,73.6,2017.7
